File/Folder Name;Path;Type;URL;Size (bytes);Created Time
RPS_Persamaan Diferensial.docx;AKREDITASI 2026 Batch 3/LKPS/Tabel 3.a.1) Kurikulum dan Rencana Pembelajaran/RPS/RPS/RPS_Persamaan Diferensial.docx;File;https://docs.google.com/document/d/1oKL-uXwswxSpCTOOhyH8iKcwuSI9XOCO/edit?usp=drivesdk&ouid=101619384140483629602&rtpof=true&sd=true;1646678;2026-06-23T05:00:04.643Z
RPS_Jaringan Komputer.docx;AKREDITASI 2026 Batch 3/LKPS/Tabel 3.a.1) Kurikulum dan Rencana Pembelajaran/RPS/RPS/RPS_Jaringan Komputer.docx;File;https://docs.google.com/document/d/1oR-VQkXs1EtY8AzBmJk8j9PZ7Kh_8xuj/edit?usp=drivesdk&ouid=101619384140483629602&rtpof=true&sd=true;1646875;2026-06-23T04:58:27.906Z
RPS_Fisika Listrik.docx;AKREDITASI 2026 Batch 3/LKPS/Tabel 3.a.1) Kurikulum dan Rencana Pembelajaran/RPS/RPS/RPS_Fisika Listrik.docx;File;https://docs.google.com/document/d/13PzyUWIB0soSQF1EwN4YLuiAOLS5y_yu/edit?usp=drivesdk&ouid=101619384140483629602&rtpof=true&sd=true;1646808;2026-06-23T04:58:12.174Z
RPS_Elektronika Analog.docx;AKREDITASI 2026 Batch 3/LKPS/Tabel 3.a.1) Kurikulum dan Rencana Pembelajaran/RPS/RPS/RPS_Elektronika Analog.docx;File;https://docs.google.com/document/d/17Ki0m_tfEhuVuztC5WJWeAsqZ7fox4pW/edit?usp=drivesdk&ouid=101619384140483629602&rtpof=true&sd=true;1646430;2026-06-23T04:57:52.075Z
RPS_Dasar Teknik Tenaga Listrik.docx;AKREDITASI 2026 Batch 3/LKPS/Tabel 3.a.1) Kurikulum dan Rencana Pembelajaran/RPS/RPS/RPS_Dasar Teknik Tenaga Listrik.docx;File;https://docs.google.com/document/d/1xmga3f5ctIyzvqWNcpHijb4HyOjEcRfG/edit?usp=drivesdk&ouid=101619384140483629602&rtpof=true&sd=true;1647489;2026-06-23T04:57:44.835Z
RPS_Bahasa Indonesia.docx;AKREDITASI 2026 Batch 3/LKPS/Tabel 3.a.1) Kurikulum dan Rencana Pembelajaran/RPS/RPS/RPS_Bahasa Indonesia.docx;File;https://docs.google.com/document/d/14ucuYZU3CFjsjC4l85cTTh2bHxxMp79N/edit?usp=drivesdk&ouid=101619384140483629602&rtpof=true&sd=true;1646987;2026-06-23T04:57:32.807Z
RPS_Aljabar Linear.docx;AKREDITASI 2026 Batch 3/LKPS/Tabel 3.a.1) Kurikulum dan Rencana Pembelajaran/RPS/RPS/RPS_Aljabar Linear.docx;File;https://docs.google.com/document/d/14KK7_qgy34WcCiHGopBNWYTjd9D4m5Qq/edit?usp=drivesdk&ouid=101619384140483629602&rtpof=true&sd=true;1646468;2026-06-23T04:57:12.377Z
RPS_Teknologi Informasi.docx;AKREDITASI 2026 Batch 3/LKPS/Tabel 3.a.1) Kurikulum dan Rencana Pembelajaran/RPS/RPS/RPS_Teknologi Informasi.docx;File;https://docs.google.com/document/d/1rF9V14RlPF9F1DwtZbaOWqigU6zQYpur/edit?usp=drivesdk&ouid=101619384140483629602&rtpof=true&sd=true;1647018;2026-06-23T05:00:36.193Z
RPS_Rangkaian Listrik Dasar.docx;AKREDITASI 2026 Batch 3/LKPS/Tabel 3.a.1) Kurikulum dan Rencana Pembelajaran/RPS/RPS/RPS_Rangkaian Listrik Dasar.docx;File;https://docs.google.com/document/d/1zhAWTwfO5Slug8CLAbcUvEhKdQxQ8W54/edit?usp=drivesdk&ouid=101619384140483629602&rtpof=true&sd=true;1647468;2026-06-23T05:00:18.995Z
RPS_Pendidikan Kewarganegaraan.docx;AKREDITASI 2026 Batch 3/LKPS/Tabel 3.a.1) Kurikulum dan Rencana Pembelajaran/RPS/RPS/RPS_Pendidikan Kewarganegaraan.docx;File;https://docs.google.com/document/d/1D6TTA5BFGSzaGzdIbTNVoDlqyFT8Xh5f/edit?usp=drivesdk&ouid=101619384140483629602&rtpof=true&sd=true;1647449;2026-06-23T04:59:48.139Z
