Judul ,Auhor,Nama Penerbit,Tahun Terbit,TS,Jenis Publikasi,Jenis Luaran,Relevansi  dengan visi keilmuan,PUBLISHER,jumlah sitasi,terindex scopus,Rank SINTA,Keunggulan Dosen,Peran Dosen ,Publikasi Mahasiswa,Cek Duplikasi,Link Bukti,,,,,,,,,,
Real-Time Microgrid For Submersible Pump Energy Consumption Based On Fuzzy Logic Controller,A Kusmantoro,"2023 International Conference on Advanced Mechatronics, Intelligent Mechatronics",14-Nov-23,TS-2,Prosiding terindeks Scopus / WoS di seminar internasional / pertemuan himpunan profesi internasional*,Penelitian,V,Int. Conf. on Advanced Mechatronics (ICAM),,Ya,Prosiding Internasional terindeks Scopus / IEEE Xplore / Scopus,Ya,,,Unique,,,,,,,,,,,"2023 International Conference on Advanced Mechatronics, Intelligent Mechatronics"
Revitalizing circular motion topic learning through android application based on transformative learning,"H Nasbey, AF Kurniawan, AR Kusumadianti",Journal of Physics: Conference Series,01-Sep-23,TS-2,Prosiding tidak terindeks di seminar internasional / pertemuan himpunan profesi nasional*,Penelitian,,Journal of Physics: Conference Series,,Ya,Prosiding Internasional terindeks Scopus / IEEE Xplore / Scopus,Ya,,,Unique,,,,,,,,,,,Pelita: Jurnal Pengabdian kepada Masyarakat
Simulasi Kapasitor Bank Untuk Efisiensi Daya Listrik Pada PT. Krisna Brass Indonesia,"JK Rachmanda, A Kusmantoro","Proceeding Science and Engineering National Seminar 8 (1), 61-69",8/1/2024,TS-2,Prosiding di seminar nasional/wilayah,Penelitian,V,Science and Engineering National Seminar (SENS),,Tidak,Prosiding Nasional,,,Ya,Unique,https://conference.upgris.ac.id/index.php/sens/article/view/4976/3775,,,,,,,,,,"Proceeding Science and Engineering National Seminar 8 (1), 61-69"
Sistem Eksitasi Pada Generator Di PT PJB UBJ O&M PLTU REMBANG,Ahmad Safrudin Bambang Hadi Kunaryo,SENS,19/12/2023,TS-2,Prosiding di seminar nasional/wilayah,Penelitian,V,Science and Engineering National Seminar (SENS),,Tidak,Prosiding Nasional,,,Ya,Unique,https://conference.upgris.ac.id/index.php/sens/article/view/4968/3768,,,,,,,,,,
Sistem Kendali Pengisian Baterai pada PLTS,Abu Khasan,"Simetris: Jurnal Teknik Mesin, Industri, Elektro dan Ilmu Komputer",1/11/2023,TS-2,Jurnal nasional terakreditasi,,,,,,,,,Ya,Unique,https://jurnal.umk.ac.id/index.php/simet/article/view/9983,,,,,,,,,,
Sistem Pemeliharaan Pendingin Pada Generator di PT. PJB UbJ O&M PLTU Rembang,"NO Ardiansyah, M Amiruddin, BH Kunaryo","Proceeding Science and Engineering National Seminar 8 (1), 235-243",19/12/2023,TS-2,Prosiding di seminar nasional/wilayah,Penelitian,V,Science and Engineering National Seminar (SENS),,Tidak,Prosiding Nasional,,,Ya,Unique,https://conference.upgris.ac.id/index.php/sens/article/view/5070/3909,,,,,,,,,,"Proceeding Science and Engineering National Seminar 8 (1), 1-9"
Sosialisasi dan Pendampingan Pembenahan Instalasi Kelistrikan Panti Asuhan Sultan Fatah Ngaliyan Semarang,"M Amiruddin, I Harjanto, BH Kunaryo, M Margono, N Aksin","PaKMas: Jurnal Pengabdian Kepada Masyarakat 4 (1), 109-115",28 Mei 2024,TS-2,Jurnal nasional terakreditasi / majalah profesi nasional*,Pengabdian,V,PaKMas: Jurnal Pengabdian Kepada Masyarakat,,Tidak,SINTA 6,,,,Unique,,,,,,,,,,,"PaKMas: Jurnal Pengabdian Kepada Masyarakat 4 (1), 109-115"
The effect of waste tire oil and pertamina dex oil blends on compression ignition engine performance,"AF Kurniawan, M Ali, SE Sofyan",IOP Conference Series: Earth and Environmental Science,1 Juli 2024,TS-2,Prosiding terindeks Scopus / WoS di seminar internasional / pertemuan himpunan profesi internasional*,Penelitian,,IOP Conference Series: Earth and Environmental Science,,Ya,Prosiding Internasional terindeks Scopus / IEEE Xplore / Scopus,Ya,,,Unique,,,,,,,,,,,Results in Engineering
Analisis Perbandingan Efisiensi Pemakaian Energi Listrik Antara Pln Dan Genset Di Pollux Mall Paragon Semarang,"AD Mahendra, M Margono, M Amiruddin","TRANSISTOR Elektro dan Informatika 5 (1), 27-36",Maret 2023,TS-3,Jurnal nasional terakreditasi / majalah profesi nasional*,Penelitian,V,TRANSISTOR Elektro dan Informatika,,Tidak,SINTA 4,,,,Unique,https://jurnal.unissula.ac.id/index.php/EI/article/download/30486/8282,,,,,,,,,,"TRANSISTOR Elektro dan Informatika 5 (1), 27-36"
Design of Water Pump Station Control in Polder System using IoT and Hybrid Fuzzy Neural Network,"I Harjanto, F Yudaningrum","IOP Conference Series: Earth and Environmental Science 1321 (1), 012014",2024,TS-121,Prosiding terindeks Scopus / WoS di seminar internasional / pertemuan himpunan profesi internasional*,Penelitian,V,IOP Conference Series: Earth and Environmental Science,,Ya,Prosiding Internasional terindeks Scopus / IEEE Xplore / Scopus,Ya,,,Unique,,,,,,,,,,,"IOP Conference Series: Earth and Environmental Science 1321 (1), 012014"
